sensor_id,description,dataType,location,type,unit,timeZone,publicAccess,component,componentType,componentDesc,componentPublicAccess,info_sample_rate_(min),info_min_val,info_max_val,info_region,info_province,info_river,info_river_district,info_basin,info_sub_basin,info_municipality,info_reservoir_max_capacity_(hm3),info_x_coord_utm_etrs89,info_y_coord_utm_etrs89,info_drained_basin_surface(km2),info_responsible_entity,info_state
CALC000041,Percentage reservoir volume,NUMBER,41.255617318 1.651034658,39,%,CET,True,080581-002,reservoir,Foix (Castellet i la Gornal),True,5.0,0.0,110.0,ALT PENEDÈS,BARCELONA,RIU FOIX,ACA,EL FOIX,EL FOIX,CASTELLET I LA GORNAL,3.74,386988,4568011,293.32,AGÈNCIA CATALANA DE L'AIGUA,In service
CALC000046,Percentage reservoir volume,NUMBER,42.340588782 2.833225165,39,%,CET,True,170600-001,reservoir,Darnius Boadella (Darnius),True,5.0,0.0,100.0,ALT EMPORDÀ,GIRONA,RIU MUGA,ACA,LA MUGA,LA MUGA,DARNIUS,61.1,486262,4687606,181.2,AGÈNCIA CATALANA DE L'AIGUA,In service
CALC000103,Percentage reservoir volume,NUMBER,41.195224935 1.327889195,39,%,CET,True,430430-001,reservoir,Gaià (el Catllar),True,5.0,0.0,30.0,TARRAGONÈS,TARRAGONA,RIU GAIÀ,ACA,EL GAIÀ,EL GAIÀ,"CATLLAR, EL",59.4,359786,4561777,358.45,"REPSOL PETRÓLEO, SA",In service
CALC000120,Percentage reservoir volume,NUMBER,41.134931354 0.960270444,39,%,CET,True,430537-001,reservoir,Riudecanyes,True,5.0,0.0,90.0,BAIX CAMP,TARRAGONA,RIERA DE RIUDECANYES,ACA,RIERA DE RIUDECANYES,RIERA DE RIUDECANYES,RIUDECANYES,5.32,328801,4555741,31.0,COMUNITAT DE REGANTS DEL PANTÀ DE RIUDECANYES,In service
CALC000125,Percentage reservoir volume,NUMBER,41.249642381 0.913800784,39,%,CET,True,430496-001,reservoir,Siurana (Cornudella de Montsant),True,5.0,0.0,70.0,PRIORAT,TARRAGONA,E. SIURANA,ACA,L'EBRE,RIU DE SIURANA,CORNUDELLA DE MONTSANT,12.22,325206,4568569,60.4,AGÈNCIA CATALANA DE L'AIGUA,In service
CALC000143,Percentage reservoir volume,NUMBER,41.984436008 2.601414188,39,%,CET,True,171899-003,reservoir,Pasteral (la Cellera de Ter),True,5.0,40.0,180.0,SELVA,GIRONA,RIU TER,ACA,EL TER,ALT TER,"CELLERA DE TER, LA",1.3,466982,4648125,1799.0,"ENDESA GENERACION, SA",In service
CALC000152,Percentage reservoir volume,NUMBER,41.968624956 2.413554059,39,%,CET,True,083036-001,reservoir,Sau (Vilanova de Sau),True,5.0,10.0,90.0,OSONA,BARCELONA,RIU TER,ACA,EL TER,ALT TER,VILANOVA DE SAU,165.26,451408,4646459,1564.0,AGÈNCIA CATALANA DE L'AIGUA,In service
CALC000713,Percentage reservoir volume,NUMBER,42.122014524 1.878559556,39,%,CET,True,082687-001,reservoir,Baells (Cercs),True,5.0,50.0,100.0,BERGUEDÀ,BARCELONA,RIU LLOBREGAT,ACA,EL LLOBREGAT,ALT LLOBREGAT,CERCS,109.43,407302,4663932,503.35,AGÈNCIA CATALANA DE L'AIGUA,In service
CALC000722,Percentage reservoir volume,NUMBER,42.099784969 1.58285827,39,%,CET,True,081419-003,reservoir,Llosa del Cavall (Navès),True,5.0,0.0,100.0,SOLSONÈS,LLEIDA,RIU CARDENER,ACA,EL LLOBREGAT,EL CARDENER,NAVÈS,80.0,382818,4661827,197.0,AGÈNCIA CATALANA DE L'AIGUA,In service
CALC000735,Percentage reservoir volume,NUMBER,41.962942293 1.605613258,39,%,CET,True,250753-004,reservoir,Sant Ponç (Clariana de Cardener),True,5.0,70.0,100.0,SOLSONÈS,LLEIDA,RIU CARDENER,ACA,EL LLOBREGAT,EL CARDENER,CLARIANA DE CARDENER,24.38,384452,4646602,304.99,AGÈNCIA CATALANA DE L'AIGUA,In service
CALC000168,Percentage reservoir volume,NUMBER,41.979075237 2.527357457,39,%,CET,True,171169-001,reservoir,Susqueda (Osor),True,5.0,10.0,110.0,SELVA,GIRONA,RIU TER,ACA,EL TER,ALT TER,OSOR,233.0,460844,4647561,1773.15,"ENDESA GENERACION, SA",In service
